"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income %","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","lowmod_hh","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025080300","MA","25025080300","=""25025080300""","36.87","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025080401","MA","25025080401","=""25025080401""","28.92","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025080500","MA","25025080500","=""25025080500""","39.14","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025080601","MA","25025080601","=""25025080601""","21.06","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025080801","MA","25025080801","=""25025080801""","33.95","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025080900","MA","25025080900","=""25025080900""","58.71","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081001","MA","25025081001","=""25025081001""","42.69","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081101","MA","25025081101","=""25025081101""","73.40","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081102","MA","25025081102","=""25025081102""","79.35","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081200","MA","25025081200","=""25025081200""","30.93","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081301","MA","25025081301","=""25025081301""","29.50","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081302","MA","25025081302","=""25025081302""","26.64","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081400","MA","25025081400","=""25025081400""","65.23","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081500","MA","25025081500","=""25025081500""","67.31","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081700","MA","25025081700","=""25025081700""","28.70","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081800","MA","25025081800","=""25025081800""","53.98","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025081900","MA","25025081900","=""25025081900""","62.53","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025082000","MA","25025082000","=""25025082000""","39.97","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025082100","MA","25025082100","=""25025082100""","26.17","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025090100","MA","25025090100","=""25025090100""","33.07","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025090200","MA","25025090200","=""25025090200""","39.72","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025090300","MA","25025090300","=""25025090300""","42.40","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025090400","MA","25025090400","=""25025090400""","57.33","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025090600","MA","25025090600","=""25025090600""","54.04","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025090700","MA","25025090700","=""25025090700""","82.17","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025090901","MA","25025090901","=""25025090901""","48.98","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091001","MA","25025091001","=""25025091001""","79.36","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091100","MA","25025091100","=""25025091100""","115.33","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091200","MA","25025091200","=""25025091200""","60.09","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091300","MA","25025091300","=""25025091300""","54.20","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091400","MA","25025091400","=""25025091400""","46.16","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091500","MA","25025091500","=""25025091500""","55.76","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091600","MA","25025091600","=""25025091600""","40.29","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091700","MA","25025091700","=""25025091700""","64.70","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091800","MA","25025091800","=""25025091800""","37.18","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025091900","MA","25025091900","=""25025091900""","65.93","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025092000","MA","25025092000","=""25025092000""","53.12","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025092101","MA","25025092101","=""25025092101""","55.45","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025092200","MA","25025092200","=""25025092200""","95.37","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025092300","MA","25025092300","=""25025092300""","64.94","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025092400","MA","25025092400","=""25025092400""","50.25","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100100","MA","25025100100","=""25025100100""","37.58","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100200","MA","25025100200","=""25025100200""","66.39","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100300","MA","25025100300","=""25025100300""","75.87","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100400","MA","25025100400","=""25025100400""","103.04","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100500","MA","25025100500","=""25025100500""","59.51","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100601","MA","25025100601","=""25025100601""","99.97","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100603","MA","25025100603","=""25025100603""","124.60","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100700","MA","25025100700","=""25025100700""","120.42","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
