businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
COURTYARD CAFE,,200 Longwood,Boston,MA,02115,Active,FS,Eating & Drinking,2006-12-07 18:36:23+00,6174326169,156320,42.33647172254736,-71.10247428718928
COURTYARD CAFE,,275 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:36:42+00,6174261400,158150,42.350043897645286,-71.06546316328973
Courtyard Marriott Logan Airport,,225 William F McClellan,East Boston,MA,02128,Active,FS,Eating & Drinking,2017-09-14 17:12:46.053+00,6175695250,336914,42.387250000050706,-71.01656000177333
CP Cafe,,205 Newbury,Boston,MA,02116,Active,FS,Eating & Drinking,2023-03-01 17:11:43.51+00,,101425,42.35026999965587,-71.08086000109826
Craft Food Hall,,135 William T Morrissey,Dorchester,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2021-05-06 15:36:10.01+00,6178708809,149908,42.31600999971788,-71.04921000085429
Craft Food Halls,,1234 Soldiers Field,Brighton,MA,02134,Active,FS,Eating & Drinking,2024-03-07 15:28:11.367+00,6172061848,128292,42.36369999991086,-71.13638000135676
Crane River Cheese Club,,138 Cambridge,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2022-07-14 18:38:15.577+00,6176050134,157200,42.36100313975509,-71.06392800667803
Crazy Dough's Pizza,,2201 Commonwealth,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2015-06-19 12:46:32.547+00,6172025769,156893,42.34024952546169,-71.16653215188494
Creamira,,196 Quincy,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2025-11-07 16:18:53.81+00,5865063603,377254,42.31306866790966,-71.07391936327326
Crescent Ridge Dairy,,100 Hanover,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2015-03-30 15:29:05.91+00,7817607569,355634,42.36222403255521,-71.05753575641967
